card_name,set,rarity,full_rarity,old_price,print_run,full_set,cur_price,set_rarity,pct_increase,performance
Savannah Lions,LEA,rare,R,$5.50,1100,Alpha,2299.99,LEA (R),41717.99999999999,Beat S&P
Scathe Zombies,LEA,common,C,$0.41,16000,Alpha,18.775,LEA (C),4479.268292682927,Beat S&P
Scavenging Ghoul,LEA,uncommon,U,$2.00,4500,Alpha,40.760000000000005,LEA (U),1938,Below S&P
Scrubland,LEA,rare,R,$7.00,1100,Alpha,4699.99,LEA (R),67042.71428571429,Beat S&P
Scryb Sprites,LEA,common,C,$0.40,16000,Alpha,44.8,LEA (C),11099.999999999998,Beat S&P
Sea Serpent,LEA,common,C,$0.50,16000,Alpha,20.814999999999998,LEA (C),4063.0000000000005,Beat S&P
Sedge Troll,LEA,rare,R,$5.50,1100,Alpha,1547,LEA (R),28027.272727272724,Beat S&P
Sengir Vampire,LEA,uncommon,U,$5.00,4500,Alpha,606.6633333333333,LEA (U),12033.26666666666,Beat S&P
Serra Angel,LEA,uncommon,U,$7.00,4500,Alpha,788,LEA (U),11157.142857142857,Beat S&P
Shanodin Dryads,LEA,common,C,$0.50,16000,Alpha,23.793333333333333,LEA (C),4658.666666666661,Beat S&P
Shatter,LEA,common,C,$0.50,16000,Alpha,34.38666666666667,LEA (C),6777.333333333339,Beat S&P
Shivan Dragon,LEA,rare,R,$22.00,1100,Alpha,7299.99,LEA (R),33081.77272727273,Beat S&P
Simulacrum,LEA,uncommon,U,$1.50,4500,Alpha,53.81,LEA (U),3487.3333333333335,Beat S&P
Sinkhole,LEA,common,C,$0.83,16000,Alpha,158.27,LEA (C),18968.67469879518,Beat S&P
Siren's Call,LEA,uncommon,U,$2.00,4500,Alpha,107.69500000000001,LEA (U),5284.75,Beat S&P
Sleight of Mind,LEA,rare,R,$6.00,1100,Alpha,506.41,LEA (R),8340.166666666668,Beat S&P
Smoke,LEA,rare,R,$6.00,1100,Alpha,499.99,LEA (R),8233.166666666666,Beat S&P
Sol Ring,LEA,uncommon,U,$4.00,4500,Alpha,1225.59,LEA (U),30539.749999999996,Beat S&P
Soul Net,LEA,uncommon,U,$2.00,4500,Alpha,47.23,LEA (U),2261.5,Beat S&P
Spell Blast,LEA,common,C,$0.41,16000,Alpha,28.773333333333333,LEA (C),6917.8861788617805,Beat S&P
Stasis,LEA,rare,R,$2.00,1100,Alpha,1125,LEA (R),56150,Beat S&P
Steal Artifact,LEA,uncommon,U,$2.00,4500,Alpha,79.24000000000001,LEA (U),3861.9999999999995,Beat S&P
Stone Giant,LEA,uncommon,U,$2.00,4500,Alpha,73.93,LEA (U),3596.5000000000005,Beat S&P
Stone Rain,LEA,common,C,$0.50,16000,Alpha,42.986666666666665,LEA (C),8497.33333333334,Beat S&P
Stream of Life,LEA,common,C,$0.41,16000,Alpha,20.25333333333333,LEA (C),4839.837398373975,Beat S&P
Sunglasses of Urza,LEA,rare,R,$7.00,1100,Alpha,400.13,LEA (R),5616.142857142857,Beat S&P
Swords to Plowshares,LEA,uncommon,U,$3.00,4500,Alpha,789.31,LEA (U),26210.33333333333,Beat S&P
Taiga,LEA,rare,R,$7.50,1100,Alpha,6099.99,LEA (R),81233.2,Beat S&P
Terror,LEA,common,C,$0.41,16000,Alpha,57.949999999999996,LEA (C),14034.146341463418,Beat S&P
The Hive,LEA,rare,R,$8.00,1100,Alpha,371.32,LEA (R),4541.5,Beat S&P
Thicket Basilisk,LEA,uncommon,U,$4.00,4500,Alpha,67.41,LEA (U),1585.25,Below S&P
Thoughtlace,LEA,rare,R,$5.00,1100,Alpha,210,LEA (R),4100,Beat S&P
Throne of Bone,LEA,uncommon,U,$2.00,4500,Alpha,57.12,LEA (U),2756,Beat S&P
Timber Wolves,LEA,rare,R,$7.00,1100,Alpha,326,LEA (R),4557.142857142857,Beat S&P
Time Vault,LEA,rare,R,$8.25,1100,Alpha,4223.495,LEA (R),51093.878787878784,Beat S&P
Time Walk,LEA,rare,R,$11.00,1100,Alpha,14625,LEA (R),132854.54545454544,Beat S&P
Timetwister,LEA,rare,R,$10.50,1100,Alpha,11719,LEA (R),111509.5238095238,Beat S&P
Tranquility,LEA,common,C,$0.41,16000,Alpha,25.65,LEA (C),6156.09756097561,Beat S&P
Tropical Island,LEA,rare,R,$7.13,1100,Alpha,6375,LEA (R),89310.93969144461,Beat S&P
Tsunami,LEA,uncommon,U,$2.00,4500,Alpha,74.87,LEA (U),3643.5,Beat S&P
Tundra,LEA,rare,R,$6.50,1100,Alpha,7999.99,LEA (R),122976.76923076922,Beat S&P
